sha,name,label,labelnames,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
00e0752a3b64297545ce4eed7f07c0d44b97932c1d6bc32be1fae17907ea1272,"Love and Zodiac",24,AirPush.Adware,2,23,1,41,5,0,0,0,0,15,0,1,0,0,0
00e131688310dd6bdb862ac6ecbdfeede6b5f276b7d193dda75b6c7e44a5cda8,dolphin-rainbow-free,140,RussianFakeIns_FakeInstaller_fakeInstallers,4,1,3,0,13,0,0,1,8,0,25,4,0,0,0
00e256864f5196129bb70bd91b4c534949feb9e2806ecb9e0d50df2b4fa27d6b,mClip,183,TinhvanTelecom,2,2,1,0,4,11,1,2,4,1,0,1,0,11,11
00e2c06ff3917bc5a53523258642be48e47df936e7c73fe202820fc97f35b78f,"Farmery Hack",118,Londatiga:SMSSender_FakeAPP/SMS,1,2,0,0,4,0,0,0,0,0,0,1,0,0,0
00e3ddc31ec683029d84807889e94ca7bda6a2164388fada658f90d68e8ee295,香艳视频,153,SMSFraud,23,11,6,10,22,0,0,0,0,2,0,2,0,0,0
00e3f9b91dfbd625ba3390745fbe910401bdb725180d13cd0a48aa5d25f120d5,Одноклассники,128,NewRuleset,6,4,4,2,13,0,0,1,8,2,1,1,0,0,0
00e67a0424a6d7ccce866e77263ec5a6ed276c6a257c667ceab65cc0db2fd6b1,Установка,97,GAGA01SMSSender,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
00ee7b6ff0a0330799f2276f192a429a56dfc175502274dc446084b0a2a2168e,"Get Six Pack Abs",24,AirPush.Adware,5,11,3,1,10,18,3,4,10,34,2,17,0,15,24
00eeda8b720e7529399a6b68813fdc456e808fd43a068534cd5105d3cb2ff525,Framework,28,AndroRAT,2,2,2,1,15,0,0,1,16,0,0,1,0,0,0
00f0c301f8b31341663aea8cb250dae2a1c96ca4a9861934003924c58dec7ccb,Установка,97,GAGA01SMSSender,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
00f1575bd1533905888c220e12a29dbfe1192e71ccf35e669ebbea911ba94ff1,"Game of  50",79,FakeAPP/SMS,5,4,2,1,6,7,4,4,10,6,0,10,0,6,6
00f34b8a7b0beee227b188186c14a09bd63e1ae230882d0764c54e712f5563a9,魅影视频,36,Chineseporn,8,3,3,3,31,11,6,5,10,25,0,10,0,11,13
00f4598d4165958ce1f0a5bda7cf9f601ffcf86d79c5e8c677cda909cdf92a92,私人影院,41,,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
00f542fcd96674b011c3d8824972131ebfbd90b0a8511f0becc1697a53474511,Установка,34,,7,1,3,6,12,0,0,0,0,0,0,1,0,0,0
00f623138751ad9e18db009ec4f9600625d5e8906c30ef61769771dfd9c6171d,极品视频,20,,5,5,2,4,27,5,4,3,6,5,0,2,0,5,5
00f9226588d142dfa6ef07fce852427559d1a7755f8a1ec0f654a55307f551c9,"Porn Player",139,,8,5,2,7,18,0,0,0,0,0,0,1,0,0,0
00fdf5f9c43f17e65131b537752128238a3e3dce1eb9287cbd56f956d219d93f,NFS_Shift_v1.0.70,156,,9,3,6,3,15,1,1,1,2,4,0,1,0,1,1
00fe5c0d363ff25d46d40cba132e9c77dcfae105577caaecadf3abb0a7a407cc,"Big Band",112,,2,8,6,0,10,1,1,1,2,7,4,4,0,1,1
