sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
0042827e99b64b517415063286d99a11156e77b7e4ec8f0725288fcdbadae464,Установка,install.app,4E3844F8,4,1,1,1,16,0,1,1,2,1,0,2,3,1,1
0046f39757c529008207e72a13e138f8d3f0334f963653447eff29dd55db47fd,Qvod快播,com.rsly.czdw.emjq,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
004aadcb88fe157a27ea2ba2470f7ed66847ebab9e003818f1d6678aa6574205,Talking_Tom_Cat_3_Free,com.googleapi.cover,2C8405F7,9,3,6,3,15,1,1,1,2,5,0,1,0,1,1
004d83237625a85676e1c3b51488c2fe85bb984ec6d105b763d4a398e8d79a89,PowerAMP,com.android.apps,1C246F66,12,3,9,2,15,1,1,1,2,4,0,1,0,1,1
005008ac2c415abb52dce8a2a1c99c722d08aa75d1b4ce3615f515dbd9407198,私人影院,com.yxyx.ctos.okhw,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
00510847abef99630b02ee0ecd76066de94b728728caef8265dc2673fafa65a9,Tetris,com.software.application,4E23381A,6,3,4,1,9,0,0,0,0,2,0,1,0,0,0
005345a350b7fcd4393af94ca97f20b6302aada04fa4c4903ea608530afaccad,Qvod快播,com.vjcx.kzmd.exap,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
005351bccbe1672094739b4ee103ad67359bd673ad52c7fd36dcf4d336471707,Flash player,eu.margaritasoft.firstdevelop,0F9B6690,3,1,1,0,10,0,0,1,8,0,0,1,0,0,0
005a1a3bc45fffbdd4da8132ed12f23b6f3992a1890917d1840bcc89cea0f38e,2046末日战机,yc.plane.kehuan.yd,0B4B168C,2,6,0,0,7,0,0,0,0,1,0,0,0,0,0
005bc89b0c564bf7efa3927ce0c270af947e9a8370c8643546e0e13f573e03da,相册,se.Rnrgtrghq,936EACBE07F201DF,10,9,5,2,18,0,0,0,0,1,0,1,2,0,0
005d2b403e12ed5f6177421ab8f59b3df4eb79e0f0ab1ee38ce5db071736ce77,Knights Templar Organisation,com.wKnightsTemplarOrganisation,533CED25,5,7,3,1,5,22,7,7,18,7,0,10,0,6,6
005deca04cf3a52920bef44a835609b04e5b79dc351cd7cb0e8dd1d0965fdff8,Battery Control,com.sys.battery.control,4780E246,4,4,2,1,14,17,3,5,10,11,0,15,0,18,19
0060d522f11a2b92424205261a0ed619de712fe991638755b9abcc78cc133270,Jimm 0.7.100123 alfa,jimmmipdfullanimated.html.app,6BA85466,5,1,5,2,14,4,1,1,4,6,0,6,0,2,2
0065778b7cb9d5e111f8fa755fc277944c5a2f4d8fdcd3c72d063d867e3c031a,FlashPlayer,ewqjula.vderhjmfxb,4E4C147D,3,1,2,1,18,1,1,1,2,6,8,4,0,1,1
0066ad79f813e3767aef6d0f32fc5638daca6fd62bbf7d291811d6d4e4c99604,倾欲视频,com.cexx.ixjw.ntxh,6E0365E1,32,14,10,11,29,0,0,0,0,0,0,2,0,0,0
0068b48ad63b2eaa8fb8d52af17c509119d7185e2111c882898b01bad4fcd633,Activator,com.activator,70114E4D,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0
006e5b46c1569710e9323ce1c2ddc157a1e1455d8cbc85c939973de67abccd38,中国移动端,com.ytecvxc.mndsfjwe.uweyfbc,936EACBE07F201DF,11,8,5,2,19,0,0,0,0,0,0,5,2,0,0
006f50ceba847da23a781b7b4b83931635ca76fbe7c9e7520a8aba915fe01e6e,GooglePlay,com.software.application,24ED6494,4,3,3,0,6,0,0,0,0,2,0,1,0,0,0
00708a50a13321d5b9eac9783ad0627743c7d1da5e760433bffe99b4366f487c,Foto6sovtetila_plemenika,com.androids.update,4FA1A9F1,2,1,1,1,6,0,0,0,0,0,0,2,0,0,0
0070ae74ab1249fc0ce59a25cb02582ba21ed89c855e0f46783f046262d2db63,Обновление браузера,com.apps.pack,4E868DEC,4,5,3,1,10,0,0,0,0,2,2,1,0,0,0
007215abd240d10f41d5893c0bfd83ac29454efac43955cb80095bb648fb2e18,HD_LiveWallpapers_Udate,com.googleapi.cover,1C246F66,12,3,9,2,15,1,1,1,2,5,0,1,0,1,1
00735aba4b98180ca4903d2aa08cc524cd5af9ea359ee0448622840d88ca3a8b,话付宝,com.umpay.huafubao,4F54C997,3,8,1,1,9,0,1,1,4,0,0,2,0,2,0
