sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
01980d7f98fa4e55a4565c3e8ce62ae6b406771628bff6589f57ad57b9ab3e51,RamleelaSongs,com.appsmoment.ramleelasongslalit,4CEBD70D,5,32,2,3,11,2,1,1,2,2,0,1,0,2,2
019f059019b2b907be4a0f4409ca7c6cadc7c3d8e9e1a78302b34bfe3ba978bf,短发发型大全,com.anzhi.duanfafaxingdq,51DBA49F,11,12,6,4,11,0,0,0,0,0,0,0,0,0,0
019f214e42e86568d34738a87f776c5922fec2ea944683c77592841cf6b7c3ee,美丽清纯美女壁纸,com.sanshi.xmw,14E58695,4,9,3,4,11,0,0,0,0,4,14,5,0,0,0
01a99b14333449b47bce5094b151ed7ca700e557d2c5e5f233287f58810810f8,Одноклассники,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
01ab1f2f892531f681c802ae7186d5bbc14919023a65ac0dd9cec11459a4c2e3,Android_Play,com.google.appinstall,66B0469F,11,3,8,2,15,1,1,1,2,5,0,1,0,1,1
01b795934a51fbf896de489ef75f842d8410c229db581f35664d8cd06d871df6,Браузер,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
01c885d8a0039dad5260e6f3bc63f5ead3fbdc5ed4828579843577ce3aee5f40,Installer,wap.syst,4E4C147D,1,1,0,0,4,0,0,0,0,1,0,2,0,0,0
01c8d600cfaaa69f5bbf5a0e06e2d52fc8ccd7f0704b67abb89c394d956550f3,IndoPak,com.ayaan.movies.cricket.freeapp,6F5EDC17,8,23,4,3,12,0,2,1,4,4,0,2,0,0,0
01ccf44334cfc073c3a6cf9b93081c0e1b2749c96539ac96e3d75286e7189dae,生活倒计时器,com.nikushudian.ovnvtuvhu,277D6EE6,2,2,1,1,10,3,2,3,6,23,0,13,0,3,3
01d73a8bf236724383a42328dae42c2e7e4f5d39c584e7f4e318c4e4e9beff9e,Установка,ad.notify1,4E4C147D,4,2,2,1,7,0,0,0,0,2,0,2,0,0,0
01eb56c4731aabab38c6a779241cebfe0a5855b5713421c81cea8730c9170f0f,1train,com.gameofsubway.supertrain,4CEBD70D,5,30,2,3,11,2,1,1,2,7,0,1,0,2,2
01ee019ea50152b81cef48493f51d18e2c3c41e3589c08077e8c24d7bbd3261d,CJ대한통운 택배 고객서비스.,ronszi7a.roiszn7z.view,936EACBE07F201DF,4,2,3,1,9,2,1,1,4,1,0,1,0,2,2
01fbc4444356c00c7bce3aa4900016c708197403e63222bb5feb35e63585b95c,捕鱼黄金鲨,com.tpad.byhjs.mm,4F7510C0,18,5,5,5,21,0,0,0,0,3,0,6,0,0,0
0206c6f9d91c23dbe3eb79d6b7b5d0c8bd4e80f2521d774e0fe67818748581e4,Solitaire,com.gp.solitaire,4DFF5300,1,5,0,0,14,44,15,16,36,24,0,34,0,26,32
020b92dab11e425bfd463761c3cb007d923332d6f156db15e26eaaeadad97fb6,FLV Player,ru.google.app,2B5B9E70,9,3,6,3,15,1,1,1,2,4,0,1,0,1,1
0210fd143d30ed4c018bea651346ccadfc2f3214f2cd7e69681bc0f5a2728f93,移动客户端,gnigiunwhxyl.qzktkaxdrnhm.jsvwzpenjsfi,516A7668,9,2,3,1,17,0,0,0,0,11,10,1,0,0,0
02156491cdc2240f1d4066b5876365e7f186a07cb08d167dc0d716aec8faafc6,install,com.termate,4FA1A9F1,1,2,0,0,9,0,0,0,0,1,0,1,0,0,0
0219f6d5fad774f6c0c3da13833f4d33fb8a8f8124f0632beb89ccfb606ad0a6,七彩来显,com.hongda.ccd,4C733821,19,50,8,8,30,5,4,4,8,19,0,6,0,4,5
0229b5df3186ff3bd95eb557a7a9929d88ef36e01814bc3af9437c85385b24e2,WASU TV,com.wasu.ah.promotionapp,4EB0E65D,4,16,1,4,27,3,2,2,4,21,0,3,0,3,3
022c36c9b74e37241a0da88282ea02615965c68be2eb7b69a178d172e06f9cd2,BeautyVideo,com.pxkxgnacdssrf.beautyvideo,2AC7AE5B,10,4,4,3,26,0,0,0,0,1,0,1,0,0,0
022f89b831fd32b269b608bc76b3f61b46e36a4885196ba52ca5382bb7269d6f,이미호아이래쉬 진주중안점,com.ouah4.ouah_04_22_n,0BDE6220,3,3,1,1,17,1,1,1,2,0,0,1,0,1,1
0230c592f163b9a212bdb15c877e60a68f38113f92a782c84fcb69d1f3d04e64,LocMgrPT,com.android.locmgrpt,A55932E8E7AF6F6E,4,3,1,1,24,0,0,0,0,0,0,1,0,0,0
02316cce160f0d389b276ae2e3a5c45da1ebf01d38f5e63547688121af1e364c,Zac Brown Band,com.bswhaney.ZacBrownBand,5B46CAB3,1,4,0,0,5,8,6,6,12,3,21,11,0,6,5
0246fd68aab35e38fd74e05a1bc7cd225809197b4911bad4bd566401e4eaa489,Google Play,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
024cd0b7a94060721709644d16e9831c4a011d8a1c1e778c5c90b264c5d97e01,移动积分,fhsi.sowp.fiso.wiofsw,936EACBE07F201DF,3,1,2,1,4,0,0,0,0,0,0,1,1,0,0
024fb81d02d1380f8e984d4d7df63f7acc7f892f0eedbb97dbce660a7d1214e0,常用电话,com.example.commonphone,551165B7,19,2,8,6,31,0,0,0,0,0,0,1,0,0,0
02545d40bd19a9560047dbf51c6432f1e7761d34ec0be011c346a29b4032abd9,Установка,com.apps.pack,4E868DEC,4,5,3,1,10,0,0,0,0,2,2,1,0,0,0
0265135c59e3567a1f871cfb735663a00b8471abef7025d859106d2fbc56b0f0,Download,bc2.android.install,019C5F95,1,2,0,1,23,0,0,1,16,0,2,2,0,0,0
0268832adc9d391f2d1bc3813c42563d82e55569a4e3214fe18ff317b37230d8,kids Movies,com.dolores.kidsmovies,4CEBD70D,5,32,3,3,7,2,1,1,2,15,0,1,0,2,2
026eeeef12536384104dea5cf34c3aec344074bedea992ef373d63658bbd8aca,Системное обновление,com.android.system,4E5C0175,6,6,6,3,17,0,1,0,0,0,0,1,0,0,0
026fc38431d43b1a5046c7941e704988854023c70f8673ea621d772249fd71e1,指易付,com.skymobi.pay.plugin,51402BBB,16,4,3,5,23,0,0,0,0,0,0,1,0,0,0
